id;title;price;promo_price;url
3269266;Машинка Mobicaro 1:12 Автокран инерционная WY812A;1 699 ₽;849 ₽;https://www.detmir.ru/product/index/id/3269266/
2865241;Трактор Mobicaro с прицепом;199 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/2865241/
3867332;Машинка Hot Wheels Монстр-трак светящийся в темноте в ассортименте HCB50;999 ₽;549 ₽;https://www.detmir.ru/product/index/id/3867332/
3153384;Модель сборная Mobicaro Экскаватор с шуруповертом-двигателем 7128596;1 199 ₽;839 ₽;https://www.detmir.ru/product/index/id/3153384/
3848710;Машинка BochArt Синий трактор с прицепом;3 839 ₽;2 764 ₽;https://www.detmir.ru/product/index/id/3848710/
2405461;Набор Mobicaro Город ковер 80*70см с машинками;499 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/2405461/
3153398;Подъемник Mobicaro 1:16 инерционный OTB0564706;999 ₽;569 ₽;https://www.detmir.ru/product/index/id/3153398/
41901;Пожарная машина Bruder MAN со светом и звуком 1:16;5 759 ₽;4 412,43 ₽;https://www.detmir.ru/product/index/id/41901/
3151706;Набор игровой Hot Wheels Stunt and Go Грузовик-пусковая установка GCK38;3 999 ₽;2 771,01 ₽;https://www.detmir.ru/product/index/id/3151706/
3189300;Коврик игровой TOCAGO LED TPM-001A;1 599 ₽;1 279 ₽;https://www.detmir.ru/product/index/id/3189300/
3153391;Трактор Mobicaro 1:16 инерционный OTB0567762;1 399 ₽;849 ₽;https://www.detmir.ru/product/index/id/3153391/
3088536;Трактор Zebratoys Active с ковшом и прицепом Синий 15-10173;999 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3088536/
3226747;Конструктор LEGO Speed Champions Nissan GT-R NISMO 76896;1 799 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3226747/
3269270;Машинка Mobicaro 1:12 Самосвал инерционная WY810B;1 699 ₽;849 ₽;https://www.detmir.ru/product/index/id/3269270/
3117510;Поезд Mobicaro инерционный YS248459;499 ₽;329 ₽;https://www.detmir.ru/product/index/id/3117510/
3507427;Набор игровой Hot Wheels Автотрек Трюковая арена GVK48;3 549 ₽;2 969,01 ₽;https://www.detmir.ru/product/index/id/3507427/
2864631;Манипулятор Mobicaro инерционный  со световыми и звуковыми эффектами;649 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/2864631/
2405491;Набор Mobicaro Побережье ковер 80*120см с машинками;749 ₽;479 ₽;https://www.detmir.ru/product/index/id/2405491/
3085681;Экскаватор Bruder 02-427;2 799 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3085681/
3507421;Машинка Hot Wheels Монстр-трак Мега-Рекс GVK39;1 599 ₽;999 ₽;https://www.detmir.ru/product/index/id/3507421/
546681;Машинка Mobicaro Ударник 51 см;699 ₽;429 ₽;https://www.detmir.ru/product/index/id/546681/
3269275;Машинка Mobicaro 1:16 Автокран инерционная WY310E;999 ₽;539 ₽;https://www.detmir.ru/product/index/id/3269275/
3507425;Набор для трюков Hot Wheels Монстр-трак Воздушный поединок GYC81;1 769 ₽;1 099 ₽;https://www.detmir.ru/product/index/id/3507425/
3153389;Модель сборная Mobicaro Мусоровоз с шуруповертом-двигателем 7128678;1 199 ₽;839 ₽;https://www.detmir.ru/product/index/id/3153389/
3507419;Машинка Hot Wheels Монстр-трак с заводным механизмом в непрозрачной упаковке (Сюрприз) GPB72;419 ₽;249 ₽;https://www.detmir.ru/product/index/id/3507419/
3153387;Модель сборная Mobicaro Грузовик с шуруповертом-двигателем 7128625;1 199 ₽;839 ₽;https://www.detmir.ru/product/index/id/3153387/
3507430;Набор игровой Hot Wheels Грузовик Голодная акула с хранилищем для машинок GVG36;2 039 ₽;1 484,01 ₽;https://www.detmir.ru/product/index/id/3507430/
2864731;Самосвал Mobicaro со световыми и звуковыми эффектами 1:12;1 499 ₽;899 ₽;https://www.detmir.ru/product/index/id/2864731/
3465208;Машинка BochArt Синий трактор;2 839 ₽;1 845 ₽;https://www.detmir.ru/product/index/id/3465208/
3201166;Мусоровоз Dickie свободный ход Оранжевый 3308383;4 299 ₽;3 355,11 ₽;https://www.detmir.ru/product/index/id/3201166/
2993449;Скорая помощь Bruder MB Sprinter с фигуркой водителя;6 939 ₽;5 483 ₽;https://www.detmir.ru/product/index/id/2993449/
2865311;Трактор Mobicaro инерционный со световыми и звуковыми эффектами с аксессуарами;699 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/2865311/
2865231;Набор Mobicaro Фермерская техника;129 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/2865231/
2690371;Внедорожник Bruder Пожарная с фигуркой;5 539 ₽;4 157,01 ₽;https://www.detmir.ru/product/index/id/2690371/
3086540;Машинка Mobicaro Профи Самосвал 40-0057;749 ₽;459 ₽;https://www.detmir.ru/product/index/id/3086540/
3193539;Машина Hot Wheels Spark Racer Quick N sik 51197;2 499 ₽;889 ₽;https://www.detmir.ru/product/index/id/3193539/
3170254;Набор Mobicaro Грузовик с машинкой MQ813;1 999 ₽;1 289 ₽;https://www.detmir.ru/product/index/id/3170254/
3269248;Машинка Mobicaro Пожарная фрикционная A5577-2;849 ₽;549 ₽;https://www.detmir.ru/product/index/id/3269248/
3194034;Мини-экскаватор Bruder Cat 02-466;6 419 ₽;4 554 ₽;https://www.detmir.ru/product/index/id/3194034/
2500561;Самосвал Bruder Scania 03-550;5 609 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/2500561/
3269267;Машинка Mobicaro 1:12 Уборочная инерционная WY830C;1 699 ₽;1 009 ₽;https://www.detmir.ru/product/index/id/3269267/
3269250;Машинка Mobicaro Самосвал фрикционная A6677-1;799 ₽;449 ₽;https://www.detmir.ru/product/index/id/3269250/
3269265;Машинка Mobicaro 1:12 Бетономешалка инерционная WY811A;1 699 ₽;849 ₽;https://www.detmir.ru/product/index/id/3269265/
3194031;Машина Bruder Man Самосвал c 3 мусорными контейнерами 03-753;10 929 ₽;7 119 ₽;https://www.detmir.ru/product/index/id/3194031/
3153383;Машинка Mobicaro 1:48 7128941 в ассортименте;249 ₽;129 ₽;https://www.detmir.ru/product/index/id/3153383/
3200837;Набор Bruder Ремонтный для мотоцикла 62-101;3 999 ₽;2 474,01 ₽;https://www.detmir.ru/product/index/id/3200837/
3293618;Машина Hot Wheels Monster Action Hotweiler 51221;2 399 ₽;1 269 ₽;https://www.detmir.ru/product/index/id/3293618/
2864641;Автовышка Mobicaro инерционная;599 ₽;359 ₽;https://www.detmir.ru/product/index/id/2864641/
3507589;Машинка Matchbox Россия в ассортименте HBL15;259 ₽;129 ₽;https://www.detmir.ru/product/index/id/3507589/
3020795;Самосвал Zebratoys Малыш;249 ₽;197,01 ₽;https://www.detmir.ru/product/index/id/3020795/
3194027;Трактор Bruder Massey Ferguson 02-046;7 929 ₽;4 850,01 ₽;https://www.detmir.ru/product/index/id/3194027/
3441672;Машина Bruder Mercedes-Benz Sprinter Дорожная служба 02-537;6 309 ₽;4 297,59 ₽;https://www.detmir.ru/product/index/id/3441672/
3507423;Машинка Hot Wheels Монстр-трак 5 Аларм GVK41;1 599 ₽;999 ₽;https://www.detmir.ru/product/index/id/3507423/
3153386;Модель сборная Mobicaro Бетономешалка с шуруповертом-двигателем 7128619;1 199 ₽;839 ₽;https://www.detmir.ru/product/index/id/3153386/
3507420;Машинка Hot Wheels Монстр-трак Боун Шейкер GVK38;1 599 ₽;999 ₽;https://www.detmir.ru/product/index/id/3507420/
3153382;Машинка Mobicaro 1:72 7128814 в ассортименте;199 ₽;99,50 ₽;https://www.detmir.ru/product/index/id/3153382/
2864741;Экскаватор Mobicaro со световыми и звуковыми эффектами 1:12;1 599 ₽;999 ₽;https://www.detmir.ru/product/index/id/2864741/
3294790;Машина Dickie Mercedes пожарная 3714011;2 499 ₽;1 583,01 ₽;https://www.detmir.ru/product/index/id/3294790/
3193551;Машина Hot Wheels Mighty Speeders Time Tracer 51206;599 ₽;319 ₽;https://www.detmir.ru/product/index/id/3193551/
3153394;Джип Mobicaro 1:16 инерционный OTB0566960;999 ₽;539 ₽;https://www.detmir.ru/product/index/id/3153394/
2405471;Набор Mobicaro Ферма (коврик 80*70см+машинки);499 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/2405471/
7681;Экскаватор Bruder 1:16 Liebherr;2 719 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/7681/
2405501;Набор Mobicaro Стройка (коврик 80*120см+машинки);599 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/2405501/
3430153;Машина Технопарк Камаз Пожарная 298022;2 559 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3430153/
3132612;Машина Dickie Скорая помощь 3302004;1 199 ₽;494,01 ₽;https://www.detmir.ru/product/index/id/3132612/
3363591;Машина Bruder подметально-уборочная 03-780;13 799 ₽;10 045 ₽;https://www.detmir.ru/product/index/id/3363591/
3153385;Модель сборная Mobicaro Бульдозер с шуруповертом-двигателем 7128608;1 199 ₽;839 ₽;https://www.detmir.ru/product/index/id/3153385/
2865251;Набор Mobicaro Сельхозтехника инерционная;99 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/2865251/
3430142;Машина Технопарк Городской троллейбус 298146;1 729 ₽;989,01 ₽;https://www.detmir.ru/product/index/id/3430142/
3638402;Машина Hot Wheels Фрикционная монстр-трак 1:16 с аммортизаторами красный Hot Wheels;2 318 ₽;1 947 ₽;https://www.detmir.ru/product/index/id/3638402/
2208251;Автобус Технопарк 188078;1 999 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/2208251/
3294795;Машина Dickie пожарная 3719015;5 899 ₽;4 315,41 ₽;https://www.detmir.ru/product/index/id/3294795/
2993424;Машинка Mobicaro Профи Мусоровоз;1 299 ₽;789 ₽;https://www.detmir.ru/product/index/id/2993424/
3020785;Экскаватор Zebratoys Active;449 ₽;395,01 ₽;https://www.detmir.ru/product/index/id/3020785/
2405481;Набор игровой Mobicaro Пожарная часть коврик 80х70 см + машинки;499 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/2405481/
3132613;Машина Dickie Сила улиц Полицейская функциональная 3308376;3 699 ₽;1 870,11 ₽;https://www.detmir.ru/product/index/id/3132613/
3201167;Машинка Dickie 1:32 Citroen Space Tourer полицейский минивэн с радаром фрикционный 3713010;1 699 ₽;1 524,60 ₽;https://www.detmir.ru/product/index/id/3201167/
3117507;Машинка Mobicaro двусторонняя YS154397;129 ₽;64,50 ₽;https://www.detmir.ru/product/index/id/3117507/
3193545;Машина Hot Wheels Blazing Cruiser Quick N sik Синие колеса 51200;999 ₽;529 ₽;https://www.detmir.ru/product/index/id/3193545/
3507588;Набор игровой Matchbox Пожарный тягач GWM23;3 449 ₽;1 899 ₽;https://www.detmir.ru/product/index/id/3507588/
3132623;Машина Dickie Скорая помощь 3306007;2 399 ₽;1 781,01 ₽;https://www.detmir.ru/product/index/id/3132623/
3507440;Набор игровой Cars Герои мультфильмов Грузовик-транспортер Мак FTT93;3 359 ₽;2 771,01 ₽;https://www.detmir.ru/product/index/id/3507440/
2551111;Транспорт B.Battat Автокран WH1002Z;5 999 ₽;4 069 ₽;https://www.detmir.ru/product/index/id/2551111/
3127825;Игрушка Dickie Пожарная машина 3306005;2 399 ₽;1 385,01 ₽;https://www.detmir.ru/product/index/id/3127825/
3193546;Машина Hot Wheels Street Creatures Sharkruiser 51201;999 ₽;529 ₽;https://www.detmir.ru/product/index/id/3193546/
3030033;Трактор Bruder John Deere 7930 03-050;4 094 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3030033/
3237714;Конструктор LEGO Speed Champions Гоночный автомобиль Chevrolet Camaro ZL1 75891;1 299 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3237714/
3194028;Машина Bruder Schaffer Погрузчик с рулоном 02-192;3 189 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3194028/
3020788;Трактор Zebratoys с ковшом Active Синий;639 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3020788/
3193550;Машина Hot Wheels Turbo Tuning Трак 51170;1 499 ₽;959 ₽;https://www.detmir.ru/product/index/id/3193550/
3193552;Машина Hot Wheels Mighty Speeders Quick N sik 51206;599 ₽;289 ₽;https://www.detmir.ru/product/index/id/3193552/
3200864;Погрузчик Rhino Construction Спецтехника мини 30043;699 ₽;379 ₽;https://www.detmir.ru/product/index/id/3200864/
3788964;Трактор Полесье Belarus 89397;499 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3788964/
3200862;Самосвал Rhino Construction Спецтехника мини 30041;699 ₽;369 ₽;https://www.detmir.ru/product/index/id/3200862/
2865291;Набор Mobicaro Фермерская техника Лесовоз;599 ₽;379 ₽;https://www.detmir.ru/product/index/id/2865291/
3430148;Машина Технопарк Ford Transit Скорая 298761;1 489 ₽;840,51 ₽;https://www.detmir.ru/product/index/id/3430148/
3430156;Локомотив Технопарк 284121;1 999 ₽;979,11 ₽;https://www.detmir.ru/product/index/id/3430156/
3193553;Машина Hot Wheels Mighty Speeders Sharkruiser 51206;599 ₽;359 ₽;https://www.detmir.ru/product/index/id/3193553/
